项目,文件名,日期,原文件名,大小,描述,置信度,时长秒,分辨率,帧率,有无音轨,重复于,可用起点秒,可用终点秒,功能位,画质等级,画面元素,镜头特征,工序阶段,脱敏风险,缩略图路径,标注执行者,标注日期,复核状态
化工群,化工_现场施工_260617_002.jpg,260617,096bfcc054affcdf5810dd0fd952f176.jpg,354123,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵8-14#盖板_260816_002.jpg,260816,096e95e5b7a337317aa6fc7c8cbe71cf.jpg,481309,氯化铵8-14#盖板,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260716_003.jpg,260716,09d13b5c777c08b67e0828db2ae7a9e2.jpg,722279,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_004.jpg,260717,0a1da9d8bf079240f83a5b1e406a9464.jpg,628554,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260810_001.jpg,260810,0a3962d88876287248efeeb266c1c32a.jpg,1283130,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260626_001.jpg,260626,0a4feb55317c5f53eb6a3b5c0261a492.jpg,305579,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260531_001.jpg,260531,0a6d5d6293af0844aa4afb1aa07c2e86.jpg,731390,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260731_001.jpg,260731,0a7636b172f2e72da32d08989843e01b.jpg,521169,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260716_004.jpg,260716,0a82873d81872f3fc82925222428876f.jpg,1228078,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260706_001.jpg,260706,0b20e8ebf3381c07fc1dcfaea460d2ca.jpg,391408,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260630_001.jpg,260630,0b24413df9de6ad3ee732bc2b4b069bd.jpg,175068,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260715_002.jpg,260715,0b2e62b6e48c99029e1696300e785b20.jpg,1427913,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_氯化铵5 6 8#污水池_260711_002.jpg,260711,0b4b16b5018c469455b6fe946b415354.jpg,2857163,氯化铵5 6 8#污水池,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260621_001.jpg,260621,0b4cbf2f6dd8bd2e2d40e6ac9d465edf.jpg,270557,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260614_003.jpg,260614,0c1a031286b6a9fd2b2485a267f4b05d.jpg,431199,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱2号_260715_001.jpg,260715,0c4b8952bdfebd6b92682b5547e6a6a9.jpg,500605,纯碱2号,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260605_002.jpg,260605,0c806daa06f9a85ed59213d69f959d8d.jpg,897893,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260613_003.jpg,260613,0cd48d8cb439d2dff3638d48607c7f30.jpg,380662,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_纯碱236#污水池清淤_260813_001.jpg,260813,0cfb6181f4df301fc719b027292670cd.jpg,6660589,纯碱236#污水池清淤,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260707_001.jpg,260707,0d2abc6d7790bfd81047d67ec5e28c3f.jpg,474687,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260717_005.jpg,260717,0d4336d3933caf000b0bf0b3a6046f2f.jpg,501216,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260705_002.jpg,260705,0d7ce7b230dcc1b056d8d8b6925e010a.jpg,484943,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260616_001.jpg,260616,0d8d630192ed46f915a0f50b8c111bfd.jpg,213464,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260626_002.jpg,260626,0d9701581f82332694683b9ceda69553.jpg,471739,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_J05-J07_260703_001.jpg,260703,0da3c24c85f51bd9b9587f769b42a773.jpg,434988,J05-J07,高,,,,,,,,,,,,验收,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260803_004.jpg,260803,0eb14dd94ad00728c37c728d375ae5e0.jpg,574143,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260707_002.jpg,260707,0f9cc1b5c971399eccf4c7f2def745fc.jpg,372094,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
化工群,化工_现场施工_260716_005.jpg,260716,0fa876f39166ba7dcc64b04376e295d9.jpg,496064,现场施工,高,,,,,,,,,,,,施工,无,,程序化,260822,已复核通过
